tweet_id,date_time,favorites,retweets,user_followers,user_favourites
690607260360429569,2016-01-22 18:49:36,311,19,3768875,120161
690597161306841088,2016-01-22 18:09:28,2159,679,3768875,120161
690400367696297985,2016-01-22 05:07:29,2035,509,3768875,120161
690374419777196032,2016-01-22 03:24:22,3548,969,3768875,120161
690360449368465409,2016-01-22 02:28:52,2913,1003,3768875,120161
690348396616552449,2016-01-22 01:40:58,1639,571,3768874,120161
690248561355657216,2016-01-21 19:04:15,1837,475,3768874,120161
690021994562220032,2016-01-21 04:03:58,3050,1172,3768874,120161
690015576308211712,2016-01-21 03:38:27,2729,828,3768874,120161
690005060500217858,2016-01-21 02:56:40,3995,1896,3768874,120161
689999384604450816,2016-01-21 02:34:07,1558,422,3768874,120161
689993469801164801,2016-01-21 02:10:37,1610,516,3768876,120161
689977555533848577,2016-01-21 01:07:23,1487,499,3768876,120161
689905486972461056,2016-01-20 20:21:00,2644,785,3768876,120161
689877686181715968,2016-01-20 18:30:32,3302,1336,3768876,120161
689835978131935233,2016-01-20 15:44:48,2355,845,3768876,120161
689661964914655233,2016-01-20 04:13:20,3486,1042,3768877,120161
689659372465688576,2016-01-20 04:03:02,11355,4386,3768878,120161
689623661272240129,2016-01-20 01:41:08,2452,745,3768878,120161
689599056876867584,2016-01-20 00:03:21,12731,6219,3768878,120161
689557536375177216,2016-01-19 21:18:22,2249,516,3768878,120161
689517482558820352,2016-01-19 18:39:13,3719,1605,3768878,120161
689289219123089408,2016-01-19 03:32:10,2462,1052,3768878,120161
689283819090870273,2016-01-19 03:10:43,3609,1246,3768878,120161
689280876073582592,2016-01-19 02:59:01,2188,814,3768878,120161
689275259254616065,2016-01-19 02:36:42,1265,284,3768878,120161
689255633275777024,2016-01-19 01:18:43,2798,1208,3768878,120161
689154315265683456,2016-01-18 18:36:07,3335,1124,3768878,120161
689143371370250240,2016-01-18 17:52:38,2225,578,3768878,120161
688916208532455424,2016-01-18 02:49:58,2996,979,3768878,120161
688908934925697024,2016-01-18 02:21:04,2304,869,3768878,120161
688898160958271489,2016-01-18 01:38:15,2299,887,3768880,120161
688894073864884227,2016-01-18 01:22:00,2447,788,3768880,120161
688828561667567616,2016-01-17 21:01:41,1503,420,3768880,120161
688804835492233216,2016-01-17 19:27:24,1040,224,3768880,120161
688789766343622656,2016-01-17 18:27:32,2420,748,3768881,120161
688547210804498433,2016-01-17 02:23:42,2847,789,3768881,120161
688519176466644993,2016-01-17 00:32:18,2512,821,3768881,120161
688385280030670848,2016-01-16 15:40:14,10145,5004,3768881,120161
688211956440801280,2016-01-16 04:11:31,2417,936,3768881,120161
688179443353796608,2016-01-16 02:02:19,2318,668,3768881,120161
688116655151435777,2016-01-15 21:52:49,3083,885,3768881,120161
688064179421470721,2016-01-15 18:24:18,1873,407,3768881,120161
687841446767013888,2016-01-15 03:39:15,5984,2861,3768881,120161
687826841265172480,2016-01-15 02:41:12,2979,1280,3768881,120161
687818504314159109,2016-01-15 02:08:05,2751,1077,3768884,120161
687807801670897665,2016-01-15 01:25:33,2616,799,3768885,120161
687732144991551489,2016-01-14 20:24:55,1930,745,3768885,120161
687704180304273409,2016-01-14 18:33:48,2651,950,3768886,120161
687664829264453632,2016-01-14 15:57:26,2113,575,3768886,120161
687494652870668288,2016-01-14 04:41:12,2098,653,3768887,120161
687480748861947905,2016-01-14 03:45:57,1753,281,3768887,120161
687476254459715584,2016-01-14 03:28:06,2177,614,3768888,120161
687460506001633280,2016-01-14 02:25:31,2231,612,3768888,120161
687399393394311168,2016-01-13 22:22:41,2075,701,3768888,120161
687317306314240000,2016-01-13 16:56:30,21968,10356,3768887,120161
687312378585812992,2016-01-13 16:36:55,4761,2139,3768887,120161
687127927494963200,2016-01-13 04:23:58,5987,2576,3768887,120161
687124485711986689,2016-01-13 04:10:18,2361,569,3768887,120161
687109925361856513,2016-01-13 03:12:26,6339,2789,3768887,120161
687102708889812993,2016-01-13 02:43:46,2560,1115,3768887,120161
687096057537363968,2016-01-13 02:17:20,2445,690,3768887,120161
686947101016735744,2016-01-12 16:25:26,9390,3570,3768887,120161
686760001961103360,2016-01-12 04:01:58,3840,1549,3768887,120161
686749460672679938,2016-01-12 03:20:05,3798,1657,3768887,120161
686730991906516992,2016-01-12 02:06:41,4529,1345,3768888,120161
686683045143953408,2016-01-11 22:56:10,3056,905,3768888,120161
686618349602762752,2016-01-11 18:39:05,4023,1533,3768888,120161
686606069955735556,2016-01-11 17:50:18,2064,606,3768889,120161
686394059078897668,2016-01-11 03:47:50,1920,763,3768889,120161
686386521809772549,2016-01-11 03:17:53,3540,993,3768889,120161
686377065986265092,2016-01-11 02:40:19,2427,636,3768889,120161
686358356425093120,2016-01-11 01:25:58,2390,772,3768889,120161
686286779679375361,2016-01-10 20:41:33,4378,1878,3768890,120161
686050296934563840,2016-01-10 05:01:51,2411,832,3768890,120161
686035780142297088,2016-01-10 04:04:10,1271,138,3768890,120161
686034024800862208,2016-01-10 03:57:12,3406,1321,3768890,120161
686007916130873345,2016-01-10 02:13:27,2701,471,3768890,120161
686003207160610816,2016-01-10 01:54:44,2002,730,3768890,120161
685973236358713344,2016-01-09 23:55:38,2309,608,3768890,120161
685943807276412928,2016-01-09 21:58:42,1792,693,3768890,120161
685906723014619143,2016-01-09 19:31:20,8242,3281,3768890,120161
685681090388975616,2016-01-09 04:34:45,2219,143,3768891,120161
685667379192414208,2016-01-09 03:40:16,2565,662,3768891,120161
685663452032069632,2016-01-09 03:24:40,3548,1650,3768891,120161
685641971164143616,2016-01-09 01:59:19,3199,881,3768891,120161
685547936038666240,2016-01-08 19:45:39,35994,17649,3768891,120161
685532292383666176,2016-01-08 18:43:29,3327,1293,3768891,120161
685325112850124800,2016-01-08 05:00:14,10413,4511,3768891,120161
685321586178670592,2016-01-08 04:46:13,2900,734,3768891,120161
685315239903100929,2016-01-08 04:21:00,3660,1226,3768891,120161
685307451701334016,2016-01-08 03:50:03,2255,494,3768891,120161
685268753634967552,2016-01-08 01:16:17,3403,1362,3768891,120161
685198997565345792,2016-01-07 20:39:06,2550,759,3768892,120161
685169283572338688,2016-01-07 18:41:01,4475,1613,3768892,120161
684969860808454144,2016-01-07 05:28:35,2509,435,3768892,120161
684959798585110529,2016-01-07 04:48:36,7283,3546,3768892,120161
684940049151070208,2016-01-07 03:30:07,3508,1185,3768892,120161
684926975086034944,2016-01-07 02:38:10,3836,548,3768892,120161
684914660081053696,2016-01-07 01:49:14,3828,1656,3768892,120161
684902183876321280,2016-01-07 00:59:40,2041,603,3768892,120161
684880619965411328,2016-01-06 23:33:58,2292,930,3768893,120161
684830982659280897,2016-01-06 20:16:44,38343,24370,3768893,120161
684800227459624960,2016-01-06 18:14:31,2961,1114,3768894,120161
684594889858887680,2016-01-06 04:38:35,9807,3993,3768894,120161
684588130326986752,2016-01-06 04:11:43,4481,1586,3768894,120161
684567543613382656,2016-01-06 02:49:55,3289,1410,3768894,120161
684538444857667585,2016-01-06 00:54:18,2902,1082,3768894,120161
684481074559381504,2016-01-05 21:06:19,4233,1315,3768894,120161
684460069371654144,2016-01-05 19:42:51,2163,627,3768894,120161
684241637099323392,2016-01-05 05:14:53,8956,3711,3768894,120161
684225744407494656,2016-01-05 04:11:44,1361,239,3768894,120161
684222868335505415,2016-01-05 04:00:18,4198,1554,3768894,120161
684200372118904832,2016-01-05 02:30:55,2377,1167,3768894,120161
684195085588783105,2016-01-05 02:09:54,2096,593,3768894,120161
684188786104872960,2016-01-05 01:44:52,3810,1336,3768894,120161
684177701129875456,2016-01-05 01:00:50,2206,762,3768894,120161
684147889187209216,2016-01-04 23:02:22,3250,1696,3768895,120161
684122891630342144,2016-01-04 21:23:02,2166,534,3768895,120161
684097758874210310,2016-01-04 19:43:10,4496,1616,3768895,120161
683857920510050305,2016-01-04 03:50:08,4146,1260,3768893,120161
683852578183077888,2016-01-04 03:28:54,2099,395,3768893,120161
683849932751646720,2016-01-04 03:18:23,2875,1108,3768893,120161
683834909291606017,2016-01-04 02:18:42,2865,1256,3768893,120161
683828599284170753,2016-01-04 01:53:37,3036,1189,3768893,120161
683773439333797890,2016-01-03 22:14:26,3667,1526,3768893,120161
683742671509258241,2016-01-03 20:12:10,7129,3756,3768893,120161
683515932363329536,2016-01-03 05:11:12,8020,3273,3768894,120161
683498322573824003,2016-01-03 04:01:13,3454,1088,3768894,120161
683481228088049664,2016-01-03 02:53:17,2867,1112,3768894,120161
683462770029932544,2016-01-03 01:39:57,2672,760,3768894,120161
683449695444799489,2016-01-03 00:47:59,4270,1820,3768894,120161
683391852557561860,2016-01-02 20:58:09,8307,2690,3768895,120161
683357973142474752,2016-01-02 18:43:31,3221,1059,3768895,120161
683142553609318400,2016-01-02 04:27:31,3150,1170,3768895,120161
683111407806746624,2016-01-02 02:23:45,3723,1029,3768895,120161
683098815881154561,2016-01-02 01:33:43,2351,734,3768895,120161
683078886620553216,2016-01-02 00:14:32,2167,631,3768895,120161
683030066213818368,2016-01-01 21:00:32,2358,826,3768897,120161
682962037429899265,2016-01-01 16:30:13,39005,18393,3768897,120161
682808988178739200,2016-01-01 06:22:03,1941,209,3768899,120161
682788441537560576,2016-01-01 05:00:24,2693,1253,3768899,120161
682750546109968385,2016-01-01 02:29:49,1665,491,3768899,120161
682697186228989953,2015-12-31 22:57:47,1434,396,3768899,120161
682662431982772225,2015-12-31 20:39:41,3316,1201,3768899,120161
682638830361513985,2015-12-31 19:05:54,2254,674,3768899,120161
682429480204398592,2015-12-31 05:14:01,3752,1311,3768899,120161
682406705142087680,2015-12-31 03:43:31,8279,2002,3768899,120161
682393905736888321,2015-12-31 02:52:40,2426,769,3768899,120161
682389078323662849,2015-12-31 02:33:29,1818,516,3768899,120161
682303737705140231,2015-12-30 20:54:22,3372,1132,3768899,120161
682259524040966145,2015-12-30 17:58:40,4561,1372,3768899,120161
682242692827447297,2015-12-30 16:51:48,3548,1339,3768900,120161
682088079302213632,2015-12-30 06:37:25,20038,11208,3768900,120161
682059653698686977,2015-12-30 04:44:28,5418,1908,3769056,120160
